id,name
mn0000758317,Bertha Tillman
mn0000209054,Johnny Dowd
mn0000096044,Boys Night Out
mn0000839432,Vanessa Carlton
mn0000812046,John Hiatt
mn0002099757,Zero Cult
mn0000052749,The Blood Oranges
mn0000923633,Crazy P
mn0000011166,Sharpshooters
mn0000630756,Bundle of Hiss
mn0000145748,Moulin Noir
mn0000527773,C-Murder
mn0000911085,Britt Nicole
mn0000160879,GANGgajang
mn0000796661,Edwin Hawkins
mn0000941303,Bruce Robison
mn0000683658,Yabby You
mn0000598649,Aereogramme
mn0000254411,The Academy Is...
mn0000548917,One Man Army and the Undead Quartet
mn0002442836,The Regime
mn0000668922,Heaven 17
mn0000097173,Bonnie Tyler
mn0000237517,Lee Hazlewood
mn0000783618,JoAnn Rosario
mn0001249136,Ismo Alanko
mn0000890745,The Masked Marauders
mn0000933568,Tommy Bolin
mn0000817663,Wayne Gratz
mn0000001098,Soundgarden
mn0000502806,The Rivingtons
mn0000538686,Fabrizio Faniello
mn0000121942,Karmacoda
mn0000578222,The Whitest Boy Alive
mn0000192180,Eric Von Schmidt
mn0000004332,Sharleen Spiteri
mn0000297350,Lisa Shaw
mn0000746643,Seven Nations
mn0002055267,Sam the Kid
mn0000453100,Otros Aires
mn0000621817,Cobblestone Jazz
mn0000773147,Chavela Vargas
mn0000029303,Andre Nickatina
mn0001518593,Area C
mn0000451322,Marco Resmann
mn0000531585,Bruno Nicolai
mn0000912905,Slick Ballinger
mn0000753347,Snap!
mn0000150629,Édith Piaf
mn0000788362,Bardo Pond
mn0000676818,Darryl Worley
mn0000627490,Broken Hope
mn0000812388,Kenny Wayne Shepherd
mn0000418266,Mindflayer
mn0000307642,Peret
mn0000796069,Cari Lekebusch
mn0000021355,Treva Whateva
mn0000133085,Latin Quarter
mn0000394288,Nurse with Wound
mn0000793836,Eastmountainsouth
mn0000456833,Keimzeit
mn0000373817,Q-Tex
mn0000295933,Judy Kuhn
mn0000808304,Lou Gramm
mn0000322944,Quoit
mn0000294923,Judy Collins
mn0001487039,Ultima Bleep
mn0000112540,Cisco Houston
mn0000204337,Vess L. Ossman
mn0000764479,The Halibuts
mn0000757704,Blahzay Blahzay
mn0000728059,Fonseca
mn0000958839,Yazoo
mn0000292923,Rockapella
mn0000477410,The Orlons
mn0000741718,P.M. Dawn
mn0000987974,Cathy Dennis
mn0000501622,The Slickers
mn0000245387,Santa Sabina
mn0000544965,Daniel Powter
mn0000158729,Dwayne Sodahberk
mn0000592409,AfroReggae
mn0001049965,Harlem Shakes
mn0000980202,Wax Tailor
mn0000580257,The Willowz
mn0000235519,December Wolves
mn0001473623,Lenzman
mn0000797609,Gabino Pampini
mn0000295976,Linda Eder
mn0000808133,Charlie Spand
mn0001738828,"Eugene ""Hideaway"" Bridges"
mn0000771261,Killer Mike
mn0000185627,Freddy Fresh
mn0000005641,Alfredo Kraus
mn0000746109,Steele
mn0000589117,These Arms Are Snakes
mn0000739655,Necro Facility
mn0000383117,Karen Jo Fields
mn0000238112,Sam Chatmon
mn0000636218,Akissforjersey
mn0000841697,Koenji Hyakkei
mn0000382804,Noiseshaper
mn0000402345,Camille Jones
mn0000554431,Skatebård
mn0000121469,Console
mn0000626774,Bulletboys
mn0000232564,John Lennon
mn0000227988,House of Pain
mn0000723859,Fuck the Facts
mn0000936658,Brigitte Fontaine
mn0000327779,Nevertheless
mn0000666598,Hate Eternal
mn0000505123,Missouri
mn0000955992,Darwin's Waiting Room
mn0000194862,Endo
mn0000363372,Proof
mn0000851807,Planet X
mn0000757298,Bert Williams
mn0000048594,Swervedriver
mn0000638121,CPR
mn0000101164,LFO
mn0000302191,Juluka
mn0000674409,Heiko Laux
mn0001048299,Ghost Bees
mn0000033545,Andy Fairweather Low
mn0000121459,Cornell Campbell
mn0000800095,Celso Piña
mn0000260175,Heartthrob
mn0000234815,Jedi Mind Tricks
mn0000717371,Darker My Love
mn0000238375,Madlib
mn0000616003,Aleandro Baldi
mn0000470416,Only Living Witness
mn0000534985,Birdy Nam Nam
mn0000655346,Gwen Guthrie
mn0000122795,L.T.D.
mn0000561339,Maldita Vecindad y Los Hijos del Quinto Patio
mn0000556874,Gordon Chambers
mn0000786673,Language of Flowers
mn0000750024,Ana Torroja
mn0000104515,Jack Endino
mn0000010802,Towa Tei
mn0000110567,Tiombe Lockhart
mn0000584041,Ying Yang Twins
mn0000354369,Kai Tracid
mn0000740500,Grand Theft Audio
mn0000082742,Iris DeMent
mn0000077766,The Hope Conspiracy
mn0000252978,Pedro Guerra
mn0000038579,Soft Cell
mn0000169970,Dropline
mn0000822874,José José
mn0000157922,Sprung Monkey
mn0000166220,Cocoa Brovaz
mn0000121234,Large Professor
mn0000184967,Dorsey Burnette
mn0000977770,113
mn0000667337,Artificial Intelligence
mn0000850222,Jimmie's Chicken Shack
mn0000707813,High Five Drive
mn0000209109,Überzone
mn0000827215,Roadside Monument
mn0000488558,Orson
mn0001704574,Zoey Van Goey
mn0000759207,Attaque 77
mn0000926604,Throbbing Gristle
mn0000838659,VHS or Beta
mn0000924191,The Wrens
mn0000818050,Johnny Clarke
mn0000748364,Anata
