id,allmusic_id,musicbrainz_ids
196,mt0059855353,['3d97ef8e-48ef-4b77-818d-fc757aa4c832']
197,mt0059514513,['c9625956-4738-4f66-b45d-1c4fc8fd72a5']
198,mt0059855352,['b938c301-a82a-494f-b447-83b95daa0978']
199,mt0063049929,"['d48f7d87-036f-4fd5-afaf-6471fb6b6894', '9211dfd3-e151-4cf3-8241-34b2e470b829', '0f89ace5-5088-4cbe-9c4d-31bf0b052fb4', '53f11688-49e4-457b-a134-f507902d8634']"
200,mt0046206007,"['d48f7d87-036f-4fd5-afaf-6471fb6b6894', '9211dfd3-e151-4cf3-8241-34b2e470b829', '0f89ace5-5088-4cbe-9c4d-31bf0b052fb4', '53f11688-49e4-457b-a134-f507902d8634']"
201,mt0063303565,['83e4da62-b58a-482d-b376-806b3a285d36']
202,mt0063497904,['9e80c1f1-dceb-4040-a463-07d6448af83c']
203,mt0062654954,"['af9462ec-a933-4280-8461-7e5fb035c6c0', '9917b903-79c9-496d-a6f7-0f4b30fba3e3', '0582a00b-e688-40af-9ecf-a5423fdf8433', '791fbae5-5c1f-4057-afb0-2d7eb627a570', '8ca4f0f1-a6a3-4a78-be1d-98b8c4e16e52']"
204,mt0061388824,"['7206e7b9-68c2-455e-acf9-969dfe99086e', '61231e2c-0dd2-4fc4-a2bd-aa05c8de1a68', '54bc216b-5d3c-4768-880c-521bc6e51aeb', '5243cb94-9a12-4c9b-9762-dabc38ca9a64', 'dee779c5-0541-476b-ad12-d47427f8c54a']"
205,mt0061617147,
206,mt0061388839,['9cff0702-1915-4fc4-8ee9-88b5b0361504']
207,mt0061388833,['746d564d-ef9f-475a-85a8-e2bf71cb04fa']
208,mt0061388831,['e0f8d37d-2aaa-438f-aa8b-3cf320c68590']
209,mt0061388837,['59c8072b-6b9a-4c24-b80a-db91f3f8cde8']
210,mt0061388840,"['78863e8f-b54f-4e6d-ba5c-913db693fbd3', '9894910b-9f14-48d4-b7cb-2993cfe54da3']"
211,mt0060458266,
212,mt0060368041,['e830e30f-575b-4c98-8bd4-7b99acdfe3eb']
213,mt0043628602,"['408e0226-39fc-4d62-890f-f5450d699fde', 'd782ae37-31b4-4c82-9548-f040b6407391', 'd3e15552-d2b8-499f-a7b4-7a77986bc2ff', 'd0db5b3e-2e0f-45b3-ac08-e4dfe3fd3a05', '7194570d-48c4-4252-b760-016858b0cfb7', '24f15508-b63e-4d4c-a321-6a0547df39bb', '87945e1f-c34a-4faa-9d14-9fc3389c0963']"
214,mt0014148098,"['f985daa9-c482-456d-874b-1eb2a3504e04', '0c3ef006-044a-428c-9604-f3ee473add89', 'e9571dd5-d1b7-44a4-b5dc-069755de9c0e', 'adf95d92-8e5f-482c-abd6-93f5f2681fb2']"
215,mt0004296349,"['e7218486-b9e7-48f4-a5f6-99df0c1cc036', '7fe85e56-d989-4e12-92eb-30593ac09e41', 'fbaf3775-9985-4660-80d1-5566e1394e14']"
216,mt0005296967,['518dac64-d51e-4d1e-bc1f-c3611dc7d2b3']
217,mt0004401732,"['fa0033ff-7fde-4be0-80db-54ff8c74231d', '39fcf0af-7dd8-437d-8211-7f3b9fbbb496', 'f8e647b6-59c9-4181-8684-a9996477bf24', '46b7d32f-a871-4d1b-808e-ab34da5bec91']"
218,mt0016976440,['07cb6c5b-82e5-4517-b16d-d54e6f6ee482']
219,mt0015695477,"['44a9bfb3-f2d0-4b80-85c7-6b3e1d8873b3', 'db238e98-6d35-4a04-8e86-f052b85d8c72']"
220,mt0002926073,['af32ce9e-2a5b-4024-a618-df24b05610fd']
221,mt0016990236,"['e05e2912-b8d7-4e42-b5c1-412afc331ae2', '255d44f3-fce3-451e-9617-cbd4aee9b5e1', 'ef491764-96f6-4533-8afc-9ae1453433bd']"
222,mt0029930368,['255d44f3-fce3-451e-9617-cbd4aee9b5e1']
223,mt0027895020,['98f2919c-bfbc-4844-ac0d-b3997ee7e9da']
224,mt0014616577,['e05e2912-b8d7-4e42-b5c1-412afc331ae2']
225,mt0016991993,['ed57aedd-b3fd-4b09-bbc2-dfe5349d46d4']
226,mt0015681707,['70c13db9-f8de-467d-a30b-530655a5f7e0']
227,mt0061602909,['6eec4a51-07ee-4fc2-a669-5ef988f14b1f']
228,mt0044158024,"['e5f073ec-b652-48e3-8b6a-2f6e82e552de', 'fb01967f-84f9-4073-b0cd-b3176547b7e0', 'c76ee1bc-e5ca-40e3-9e4d-0d1bab260a82', 'c42ecf31-af6f-481f-88dc-fd4b4dc50654', '4e87bf53-b22a-4cf6-ac86-dab0223501b0', '77d9eff0-eed0-4a11-8c87-379409ce85a0', '54615410-19f5-479f-87d0-4b058d17de81']"
229,mt0013878113,
230,mt0013816493,['969aa851-1caf-47a4-896c-dab592c46b1f']
231,mt0008620671,"['da0516a2-9fed-4dbe-93dd-f2af584c5528', '1b9c563c-5917-4897-9aa2-8de123a566eb', '210ca722-274d-4381-adfa-808fe0f3761d', 'c7166367-d705-4cc2-a0d1-513260616080']"
232,mt0003971552,"['be334682-a62c-4729-a53f-1d7c75831233', '34cc3360-4ff4-4cf5-b815-44591df1515e']"
233,mt0002899167,['94adc7da-c490-47e5-b7ff-3152537bf435']
234,mt0001517602,['9fc9b2f5-ebac-4f08-ab84-5797ce932787']
235,mt0004482434,"['9c28dbbc-a980-4b19-9772-21a44a010638', '61a397b4-be98-483f-acee-683d4d4f14de']"
236,mt0000382998,['713705d6-e9b5-4e8e-b187-447a6bb71be2']
237,mt0005420211,['8a349716-b5fe-40f8-a37e-0d91b7fb0a76']
238,mt0048551745,['8ad8d4a8-fbf6-4d9f-bf83-632fc3e35681']
239,mt0048551744,['613f180b-b9e4-4a58-be74-2cb0b9221188']
240,mt0048551743,['b301124c-1bec-4acf-a47e-5e5217cae94b']
241,mt0048551746,['8d1b034d-20e6-4f98-984e-5a8bc871b0d2']
242,mt0043999790,['1de93d1b-fe59-4493-8de0-880dd86f52e1']
243,mt0039872648,['1ed3aeae-40f1-48f8-b3c4-37cfe835f104']
244,mt0039872651,['d742143a-27e4-438c-a473-efec3e324310']
245,mt0039872647,['6c92b0f5-6171-4c85-bde5-4829ba7d3932']
246,mt0039872654,"['c540914e-4bec-42a9-a448-1bc2417b692a', '349a6b1a-289e-44f9-8e2b-e83142b2b935']"
247,mt0039872652,['d8a18e18-eb18-4329-9fcb-9d8bcad557a7']
248,mt0039872655,['c99cc4ca-4a4d-4685-ba48-89266edc6941']
249,mt0004398090,['c9c673e2-d83c-43f1-8358-8ab0a02d868d']
